iter	RMSE
0	5.227879287
1	5.206507717
2	5.196431264
3	5.175188254
4	5.154032084
5	5.129337869
6	5.108369136
7	5.087486123
8	5.06668848
9	5.045975858
10	5.021818225
11	5.001289032
12	4.980843763
13	4.960482074
14	4.940203624
15	4.920008072
16	4.899895079
17	4.879864308
18	4.859915423
19	4.840048089
20	4.820261973
21	4.800556742
22	4.777592016
23	4.754755044
24	4.735317606
25	4.712700466
26	4.693434947
27	4.674248185
28	4.655139859
29	4.636109647
30	4.617157231
31	4.598282293
32	4.579484515
33	4.560763583
34	4.542119182
35	4.523550999
36	4.505058723
37	4.486642043
38	4.46830065
39	4.450034238
40	4.431842498
41	4.413725126
42	4.395681818
43	4.377712271
44	4.356819587
45	4.336042992
46	4.318317248
47	4.300663968
48	4.283082854
49	4.265573611
50	4.245248201
51	4.227893626
52	4.210609997
53	4.190562355
54	4.173431336
55	4.156370349
56	4.139379108
57	4.122457326
58	4.105604721
59	4.088821009
60	4.072105909
61	4.05545914
62	4.038880424
63	4.022369481
64	4.005926035
65	3.989549809
66	3.970569736
67	3.954338047
68	3.938172713
69	3.922073463
70	3.906040027
71	3.890072136
72	3.874169521
73	3.858331917
74	3.839990681
75	3.821751157
76	3.803612743
77	3.788063574
78	3.770099408
79	3.754687242
80	3.739338081
81	3.724051667
82	3.708827744
83	3.693666057
84	3.67856635
85	3.661135421
86	3.643801006
87	3.628905148
88	3.614070184
89	3.599295866
90	3.582267945
91	3.567623634
92	3.553039189
93	3.538514365
94	3.524048918
95	3.509642607
96	3.493052204
97	3.478772607
98	3.464551385
99	3.450388299
100	3.436283112
101	3.422235587
102	3.406071428
103	3.392147408
104	3.376138327
105	3.362336674
106	3.346481151
107	3.332800737
108	3.319176247
109	3.305607455
110	3.292094132
111	3.278636052
112	3.263187794
113	3.249847883
114	3.236562505
115	3.223331437
116	3.210154459
117	3.197031348
118	3.183961884
119	3.16897193
120	3.156017173
121	3.143115375
122	3.128329803
123	3.113625822
124	3.099002952
125	3.086334228
126	3.073717294
127	3.061151938
128	3.046787321
129	3.034332055
130	3.020105017
131	3.005956375
132	2.993668026
133	2.981429911
134	2.969241826
135	2.955342976
136	2.943261534
137	2.931229481
138	2.919246616
139	2.907312736
140	2.895427641
141	2.883591133
142	2.870104403
143	2.858371416
144	2.846686394
145	2.83504914
146	2.82345946
147	2.811917158
148	2.800422041
149	2.788973915
150	2.77757259
151	2.766217874
152	2.754909575
153	2.743647505
154	2.732431474
155	2.721261295
156	2.708544369
157	2.69747184
158	2.684876589
159	2.673900813
160	2.662969907
161	2.652083686
162	2.639710706
163	2.628919568
164	2.618172545
165	2.607469456
166	2.5953148
167	2.584705153
168	2.574138879
169	2.563615799
170	2.553135738
171	2.54269852
172	2.530855736
173	2.520509598
174	2.508780035
175	2.498524142
176	2.488310176
177	2.478137964
178	2.468007336
179	2.457918122
180	2.447870153
181	2.43786326
182	2.427897275
183	2.417972031
184	2.408087362
185	2.398243101
186	2.388439083
187	2.378675144
188	2.368951121
189	2.359266849
190	2.349622166
191	2.340016911
192	2.329136477
193	2.319614967
194	2.310132381
195	2.30068856
196	2.291283346
197	2.281916579
198	2.272588105
199	2.262030126
200	2.252782947
201	2.243573571
202	2.234401842
203	2.225267608
204	2.214938229
205	2.205883561
206	2.19686591
207	2.187885122
208	2.178941048
209	2.170033537
210	2.16116244
211	2.152327608
212	2.143528893
213	2.134766147
214	2.126039223
215	2.117347975
216	2.108692256
217	2.100071923
218	2.091486829
219	2.082936831
220	2.074421785
221	2.065941549
222	2.05749598
223	2.049084937
224	2.040708278
225	2.032365862
226	2.024057551
227	2.015783204
228	2.007542682
229	1.999335848
230	1.991162563
231	1.983022691
232	1.974916094
233	1.966842637
234	1.958802185
235	1.950794601
236	1.942819753
237	1.934877506
238	1.926967727
239	1.919090283
240	1.911245042
241	1.903431873
242	1.895650643
243	1.887901224
244	1.880183483
245	1.872497294
246	1.864842525
247	1.857219049
248	1.849626737
249	1.842065463
250	1.8345351
251	1.82703552
252	1.819566599
253	1.812128211
254	1.804720231
255	1.797342535
256	1.789994999
257	1.7826775
258	1.775389914
259	1.76813212
260	1.760903996
261	1.753705421
262	1.746536273
263	1.739396433
264	1.732285781
265	1.725204196
266	1.718151562
267	1.711127758
268	1.704132668
269	1.697166174
270	1.690228159
271	1.683318506
272	1.6764371
273	1.669583825
274	1.662758567
275	1.65596121
276	1.649191641
277	1.642449745
278	1.635735411
279	1.629048525
280	1.622388974
281	1.615756648
282	1.609151435
283	1.602573224
284	1.596021905
285	1.589497368
286	1.582999503
287	1.576528201
288	1.570083354
289	1.563664853
290	1.557272591
291	1.550906461
292	1.544566355
293	1.538252168
294	1.531963793
295	1.525701126
296	1.519464059
297	1.513252491
298	1.507066314
299	1.500905427
300	1.494769726
301	1.488659108
302	1.482573469
303	1.476512709
304	1.470476725
305	1.464465416
306	1.458478682
307	1.452516421
308	1.446578534
309	1.440664921
310	1.434775483
311	1.428910121
312	1.423068737
313	1.417251232
314	1.411457509
315	1.405687471
316	1.39994102
317	1.394218062
318	1.388518498
319	1.382842235
320	1.377189176
321	1.371559226
322	1.365952292
323	1.36036828
324	1.354807094
325	1.349268643
326	1.343752833
327	1.338259571
328	1.332788766
329	1.327340326
330	1.321914159
331	1.316510174
332	1.31112828
333	1.305768388
334	1.300430407
335	1.295114247
336	1.28981982
337	1.284547037
338	1.279295809
339	1.274066048
340	1.268857666
341	1.263670576
342	1.258504691
343	1.253359923
344	1.248236188
345	1.243133399
346	1.238051469
347	1.232990315
348	1.227949851
349	1.222929992
350	1.217930654
351	1.212951754
352	1.207993207
353	1.203054931
354	1.198136842
355	1.193238859
356	1.188360899
357	1.18350288
358	1.17866472
359	1.173846339
360	1.169047655
361	1.164268588
362	1.159509058
363	1.154768985
364	1.15004829
365	1.145346892
366	1.140664714
367	1.136001677
368	1.131357702
369	1.126732712
370	1.122126629
371	1.117539375
372	1.112970874
373	1.10842105
374	1.103889824
375	1.099377123
376	1.094882869
377	1.090406988
378	1.085949404
379	1.081510043
380	1.07708883
381	1.072685691
382	1.068300552
383	1.06393334
384	1.05958398
385	1.055252401
386	1.050938529
387	1.046642293
388	1.042363619
389	1.038102437
390	1.033858674
391	1.02963226
392	1.025423123
393	1.021231194
394	1.0170564
395	1.012898674
396	1.008757944
397	1.004634142
398	1.000527198
399	0.9964370425
400	0.9923636079
401	0.9883068255
402	0.9842666273
403	0.9802429454
404	0.9762357123
405	0.9722448608
406	0.9682703239
407	0.9643120349
408	0.9603699273
409	0.9564439351
410	0.9525339924
411	0.9486400335
412	0.9447619931
413	0.9408998062
414	0.9370534078
415	0.9332227335
416	0.9294077191
417	0.9256083004
418	0.9218244137
419	0.9180559956
420	0.9143029827
421	0.9105653122
422	0.9068429213
423	0.9031357475
424	0.8994437286
425	0.8957668027
426	0.8921049081
427	0.8884579833
428	0.8848259671
429	0.8812087986
430	0.8776064171
431	0.8740187621
432	0.8704457735
433	0.8668873913
434	0.8633435557
435	0.8598142073
436	0.8562992868
437	0.8527987354
438	0.8493124943
439	0.8458405048
440	0.8423827089
441	0.8389390485
442	0.8355094657
443	0.8320939031
444	0.8286923032
445	0.8253046092
446	0.821930764
447	0.8185707111
448	0.8152243941
449	0.8118917568
450	0.8085727434
451	0.805267298
452	0.8019753654
453	0.7986968901
454	0.7954318173
455	0.7921800921
456	0.7889416599
457	0.7857164665
458	0.7825044576
459	0.7793055795
460	0.7761197783
461	0.7729470007
462	0.7697871934
463	0.7666403034
464	0.7635062779
465	0.7603850643
466	0.7572766102
467	0.7541808635
468	0.7510977722
469	0.7480272845
470	0.7449693491
471	0.7419239144
472	0.7388909295
473	0.7358703434
474	0.7328621055
475	0.7298661653
476	0.7268824725
477	0.723910977
478	0.7209516289
479	0.7180043787
480	0.7150691769
481	0.7121459741
482	0.7092347215
483	0.70633537
484	0.703447871
485	0.7005721762
486	0.6977082372
487	0.6948560059
488	0.6920154346
489	0.6891864756
490	0.6863690813
491	0.6835632046
492	0.6807687982
493	0.6779858154
494	0.6752142095
495	0.6724539338
496	0.6697049422
497	0.6669671884
498	0.6642406266
499	0.661525211
500	0.658820896
501	0.6561276362
502	0.6534453865
503	0.6507741018
504	0.6481137373
505	0.6454642484
506	0.6428255906
507	0.6401977196
508	0.6375805914
509	0.634974162
510	0.6323783876
511	0.6297932248
512	0.6272186302
513	0.6246545605
514	0.6221009727
515	0.6195578239
516	0.6170250716
517	0.6145026731
518	0.6119905863
519	0.6094887688
520	0.6069971787
521	0.6045157743
522	0.6020445139
523	0.599583356
524	0.5971322592
525	0.5946911826
526	0.5922600851
527	0.5898389259
528	0.5874276644
529	0.5850262602
530	0.5826346729
531	0.5802528624
532	0.5778807887
533	0.5755184121
534	0.5731656928
535	0.5708225915
536	0.5684890688
537	0.5661650855
538	0.5638506027
539	0.5615455815
540	0.5592499832
541	0.5569637693
542	0.5546869015
543	0.5524193414
544	0.5501610512
545	0.5479119929
546	0.5456721287
547	0.5434414211
548	0.5412198326
549	0.5390073259
550	0.536803864
551	0.5346094099
552	0.5324239266
553	0.5302473777
554	0.5280797264
555	0.5259209365
556	0.5237709718
557	0.5216297961
558	0.5194973735
559	0.5173736683
560	0.5152586448
561	0.5131522675
562	0.511054501
563	0.5089653103
564	0.5068846601
565	0.5048125157
566	0.5027488421
567	0.5006936049
568	0.4986467695
569	0.4966083015
570	0.4945781668
571	0.4925563313
572	0.4905427611
573	0.4885374223
574	0.4865402814
575	0.4845513047
576	0.482570459
577	0.480597711
578	0.4786330276
579	0.4766763758
580	0.4747277228
581	0.4727870359
582	0.4708542826
583	0.4689294303
584	0.4670124468
585	0.4651033
586	0.4632019577
587	0.4613083881
588	0.4594225595
589	0.4575444401
590	0.4556739985
591	0.4538112032
592	0.451956023
593	0.4501084268
594	0.4482683836
595	0.4464358625
596	0.4446108327
597	0.4427932637
598	0.4409831248
599	0.4391803858
600	0.4373850165
601	0.4355969865
602	0.4338162661
603	0.4320428252
604	0.4302766342
605	0.4285176633
606	0.4267658832
607	0.4250212643
608	0.4232837774
609	0.4215533933
610	0.4198300831
611	0.4181138177
612	0.4164045685
613	0.4147023066
614	0.4130070036
615	0.411318631
616	0.4096371605
617	0.4079625638
618	0.4062948129
619	0.4046338797
620	0.4029797364
621	0.4013323553
622	0.3996917087
623	0.398057769
624	0.3964305089
625	0.394809901
626	0.3931959181
627	0.3915885332
628	0.3899877193
629	0.3883934496
630	0.3868056972
631	0.3852244355
632	0.383649638
633	0.3820812783
634	0.3805193301
635	0.3789637671
636	0.3774145633
637	0.3758716926
638	0.3743351291
639	0.3728048471
640	0.3712808209
641	0.369763025
642	0.3682514337
643	0.3667460219
644	0.3652467642
645	0.3637536355
646	0.3622666106
647	0.3607856647
648	0.359310773
649	0.3578419106
650	0.3563790528
651	0.3549221753
652	0.3534712535
