iter	Passed	Remaining
0	0	236
1	0	198
2	0	169
3	0	162
4	0	186
5	1	188
6	1	186
7	1	180
8	1	176
9	1	171
10	1	164
11	1	161
12	2	159
13	2	157
14	2	154
15	2	157
16	2	157
17	2	155
18	2	153
19	3	152
20	3	151
21	3	150
22	3	147
23	3	145
24	3	144
25	3	142
26	3	142
27	4	141
28	4	141
29	4	141
30	4	142
31	4	141
32	4	141
33	4	140
34	5	139
35	5	139
36	5	138
37	5	138
38	5	137
39	5	137
40	5	137
41	6	137
42	6	136
43	6	136
44	6	134
45	6	133
46	6	133
47	6	133
48	6	133
49	7	133
50	7	132
51	7	132
52	7	132
53	7	131
54	7	130
55	7	130
56	7	130
57	8	130
58	8	130
59	8	129
60	8	129
61	8	130
62	8	130
63	8	130
64	9	130
65	9	130
66	9	130
67	9	130
68	9	129
69	9	129
70	9	129
71	10	129
72	10	128
73	10	128
74	10	127
75	10	127
76	10	126
77	10	128
78	11	129
79	11	130
80	11	131
81	11	133
82	12	135
83	12	136
84	12	139
85	13	139
86	13	140
87	13	140
88	13	141
89	14	142
90	14	141
91	14	141
92	14	141
93	14	140
94	14	140
95	14	140
96	14	139
97	15	139
98	15	139
99	15	138
100	15	138
101	15	137
102	15	137
103	15	137
104	15	136
105	16	136
106	16	135
107	16	135
108	16	134
109	16	134
110	16	134
111	16	133
112	16	133
113	17	133
114	17	132
115	17	132
116	17	133
117	18	135
118	18	136
119	18	135
120	18	135
121	18	135
122	18	134
123	19	134
124	19	133
125	19	133
126	19	133
127	19	133
128	19	133
129	19	132
130	19	132
131	20	131
132	20	131
133	20	131
134	20	130
135	20	130
136	20	130
137	20	129
138	20	129
139	21	129
140	21	129
141	21	129
142	21	130
143	22	131
144	22	131
145	22	131
146	22	131
147	23	132
148	23	132
149	23	133
150	23	133
151	23	133
152	24	133
153	24	132
154	24	133
155	24	134
156	24	133
157	25	133
158	25	132
159	25	132
160	25	132
161	25	131
162	25	131
163	25	131
164	25	130
165	26	130
166	26	130
167	26	129
168	26	129
169	26	129
170	26	129
171	26	128
172	26	128
173	27	128
174	27	128
175	27	128
176	27	128
177	27	128
178	27	127
179	28	127
180	28	127
181	28	127
182	28	126
183	28	126
184	28	126
185	28	126
186	28	125
187	29	125
188	29	125
189	29	125
190	29	124
191	29	124
192	29	124
193	29	124
194	30	124
195	30	123
196	30	123
197	30	123
198	30	123
199	30	122
200	30	122
201	30	122
202	31	121
203	31	121
204	31	121
205	31	121
206	31	120
207	31	120
208	31	120
209	31	120
210	32	120
211	32	120
212	32	120
213	32	120
214	32	119
215	33	120
216	33	120
217	33	119
218	33	119
219	33	119
220	33	119
221	34	119
222	34	119
223	34	119
224	34	118
225	34	118
226	34	118
227	35	118
228	35	118
229	35	118
230	35	118
231	35	118
232	35	117
233	35	117
234	36	117
235	36	117
236	36	117
237	36	117
238	36	117
239	36	117
240	37	117
241	37	116
242	37	116
243	37	116
244	37	116
245	37	116
246	38	116
247	38	116
248	38	115
249	38	115
250	38	115
251	38	115
252	39	115
253	39	115
254	39	115
255	39	114
256	39	114
257	39	114
258	39	114
259	40	114
260	40	113
261	40	113
262	40	113
263	40	113
264	40	112
265	40	112
266	41	112
267	41	112
268	41	112
269	41	112
270	41	112
271	41	112
272	42	112
273	42	111
274	42	111
275	42	111
276	42	111
277	42	111
278	43	111
279	43	111
280	43	111
281	43	111
282	43	110
283	43	110
284	44	110
285	44	110
286	44	110
287	44	109
288	44	109
289	44	109
290	44	109
291	44	108
292	45	108
293	45	108
294	45	108
295	45	107
296	45	107
297	45	107
298	45	107
299	45	106
300	45	106
301	46	106
302	46	106
303	46	106
304	46	106
305	46	105
306	46	105
307	47	105
308	47	105
309	47	105
310	47	105
311	47	105
312	47	104
313	47	104
314	48	104
315	48	104
316	48	104
317	48	103
318	48	103
319	48	103
320	48	103
321	48	102
322	49	102
323	49	102
324	49	102
325	49	102
326	49	102
327	49	102
328	49	101
329	50	101
330	50	101
331	50	101
332	50	101
333	50	100
334	50	100
335	50	100
336	50	100
337	51	100
338	51	99
339	51	99
340	51	99
341	51	99
342	51	99
343	51	99
344	52	98
345	52	98
346	52	98
347	52	98
348	52	98
349	52	98
350	52	97
351	53	97
352	53	97
353	53	97
354	53	97
355	53	96
356	53	96
357	53	96
358	53	96
359	54	96
360	54	95
361	54	95
362	54	95
363	54	95
364	54	95
365	54	94
366	54	94
367	55	94
368	55	94
369	55	94
370	55	94
371	55	93
372	55	93
373	55	93
374	55	93
375	56	93
376	56	92
377	56	92
378	56	92
379	56	92
380	56	92
381	56	91
382	56	91
383	57	91
384	57	91
385	57	91
386	57	91
387	57	90
388	57	90
389	57	90
390	57	90
391	58	90
392	58	89
393	58	89
394	58	89
395	58	89
396	58	89
397	59	89
398	59	89
399	59	89
400	59	88
401	59	88
402	59	88
403	59	88
404	60	88
405	60	88
406	60	88
407	60	88
408	60	88
409	61	88
410	61	88
411	61	88
412	62	88
413	62	88
414	62	88
415	62	88
416	63	88
417	63	88
418	63	88
419	63	88
420	63	87
421	64	87
422	64	87
423	64	87
424	64	87
425	65	87
426	65	87
427	65	87
428	65	87
429	65	87
430	66	87
431	66	87
432	66	87
433	66	87
434	67	87
435	67	87
436	67	87
437	67	86
438	68	86
439	68	86
440	68	86
441	68	86
442	68	86
443	69	86
444	69	86
445	69	86
446	69	86
447	70	86
448	70	86
449	70	86
450	70	86
451	71	86
452	71	86
453	71	85
454	71	85
455	71	85
456	72	85
457	72	85
458	72	85
459	72	85
460	73	85
461	73	85
462	73	85
463	73	85
464	74	85
465	74	85
466	74	85
467	74	84
468	74	84
469	75	84
470	75	84
471	75	84
472	75	84
473	76	84
474	76	84
475	76	84
476	76	84
477	76	84
478	77	83
479	77	83
480	77	83
481	77	83
482	78	83
483	78	83
484	78	83
485	78	83
486	78	83
487	79	83
488	79	83
489	79	82
490	79	82
491	80	82
492	80	82
493	80	82
494	80	82
495	81	82
496	81	82
497	81	82
498	81	82
499	81	81
500	82	81
501	82	81
502	82	81
503	82	81
504	83	81
505	83	81
506	83	81
507	83	81
508	83	81
509	84	80
510	84	80
511	84	80
512	84	80
513	85	80
514	85	80
515	85	80
516	85	80
517	85	79
518	86	79
519	86	79
520	86	79
521	86	79
522	87	79
523	87	79
524	87	79
525	87	79
526	87	78
527	88	78
528	88	78
529	88	78
530	88	78
531	89	78
532	89	78
533	89	78
534	89	77
535	89	77
536	90	77
537	90	77
538	90	77
539	90	77
540	90	77
541	91	77
542	91	76
543	91	76
544	91	76
545	92	76
546	92	76
547	92	76
548	92	76
549	92	75
550	93	75
551	93	75
552	93	75
553	93	75
554	93	75
555	94	75
556	94	75
557	94	74
558	94	74
559	94	74
560	95	74
561	95	74
562	95	74
563	95	74
564	96	73
565	96	73
566	96	73
567	96	73
568	96	73
569	97	73
570	97	73
571	97	73
572	97	72
573	97	72
574	98	72
575	98	72
576	98	72
577	98	72
578	99	72
579	99	71
580	99	71
581	99	71
582	100	71
583	100	71
584	100	71
585	100	71
586	100	70
587	100	70
588	101	70
589	101	70
590	101	70
591	101	69
592	101	69
593	101	69
594	101	69
595	102	69
596	102	69
597	102	68
598	102	68
599	102	68
600	102	68
601	103	68
602	103	67
603	103	67
604	103	67
605	103	67
606	103	67
607	103	67
608	104	66
609	104	66
610	104	66
611	104	66
612	104	66
613	104	66
614	105	65
615	105	65
616	105	65
617	105	65
618	105	65
619	105	64
620	106	64
621	106	64
622	106	64
623	106	64
624	106	63
625	106	63
626	106	63
627	107	63
628	107	63
629	107	63
630	107	62
631	107	62
632	108	62
633	108	62
634	108	62
635	108	62
636	108	62
637	109	61
638	109	61
639	109	61
640	109	61
641	109	61
642	109	60
643	109	60
644	110	60
645	110	60
646	110	60
647	110	59
648	110	59
649	110	59
650	110	59
651	111	59
652	111	59
653	111	58
654	111	58
655	111	58
656	111	58
657	111	58
658	112	57
659	112	57
660	112	57
661	112	57
662	112	57
663	112	57
664	112	56
665	113	56
666	113	56
667	113	56
668	113	56
669	113	55
670	113	55
671	113	55
672	113	55
673	114	55
674	114	54
675	114	54
676	114	54
677	114	54
678	114	54
679	114	54
680	114	53
681	115	53
682	115	53
683	115	53
684	115	53
685	115	52
686	115	52
687	115	52
688	116	52
689	116	52
690	116	52
691	116	51
692	116	51
693	116	51
694	116	51
695	117	51
696	117	50
697	117	50
698	117	50
699	117	50
700	117	50
701	117	50
702	117	49
703	118	49
704	118	49
705	118	49
706	118	49
707	118	48
708	118	48
709	118	48
710	119	48
711	119	48
712	119	48
713	119	47
714	119	47
715	119	47
716	119	47
717	119	47
718	120	46
719	120	46
720	120	46
721	120	46
722	120	46
723	120	46
724	120	45
725	120	45
726	121	45
727	121	45
728	121	45
729	121	44
730	121	44
731	121	44
732	122	44
733	122	44
734	122	44
735	122	43
736	122	43
737	122	43
738	122	43
739	122	43
740	123	43
741	123	42
742	123	42
743	123	42
744	123	42
745	123	42
746	123	41
747	123	41
748	124	41
749	124	41
750	124	41
751	124	41
752	124	40
753	124	40
754	124	40
755	125	40
756	125	40
757	125	40
758	125	39
759	125	39
760	125	39
761	125	39
762	125	39
763	126	38
764	126	38
765	126	38
766	126	38
767	126	38
768	126	38
769	126	37
770	127	37
771	127	37
772	127	37
